ID,Source,Élément,Preuve,Confiance,Sévérité,Impact,Recommandation,Référence OWASP,Statut
FIND-001,BeVigil+Yaazhini,Communication non sécurisée HTTP,bevigil_export_summary.txt + yaazhini_report.html Findings 1,Forte,High,Interception des credentials et données bancaires en transit par attaque MITM,Forcer HTTPS/TLS 1.2 minimum sur toutes les communications + certificate pinning,MASVS-NETWORK-1,Confirmé
FIND-002,Yaazhini,Mode Debug activé dans le manifest,yaazhini_report.html Findings 3 — AndroidManifest.xml android:debuggable=true,Forte,High,Extraction de données via ADB sans root — contournement des contrôles de sécurité,Mettre android:debuggable=false dans AndroidManifest.xml pour les builds production,MASVS-CODE-2,Confirmé
FIND-003,Yaazhini,Backup ADB non protégé,yaazhini_report.html Findings 4 — AndroidManifest.xml android:allowBackup=true,Forte,High,Extraction de toutes les données privées via USB sans root,Mettre android:allowBackup=false ou configurer android:fullBackupContent avec règles sélectives,MASVS-STORAGE-8,Confirmé
FIND-004,Yaazhini,Algorithmes de hachage faibles MD5 et SHA-1,yaazhini_report.html Findings 7 & 8 — ChangePassword.java,Forte,High,Récupération des mots de passe via rainbow tables ou brute force,Utiliser SHA-256 minimum — PBKDF2 ou bcrypt pour les mots de passe avec sel unique,MASVS-CRYPTO-4,Confirmé
FIND-005,Yaazhini,Content Providers exportés sans permission,yaazhini_report.html Findings 5 — AndroidManifest.xml android:exported=true,Forte,High,Toute app tierce peut lire et modifier les données exposées par les providers,Mettre android:exported=false ou ajouter readPermission et writePermission explicites,MASVS-PLATFORM-2,Confirmé
FIND-006,Yaazhini,Générateur aléatoire non cryptographique,yaazhini_report.html Findings 2 — java.util.Random dans le code source,Forte,Medium,Prédiction des tokens de session ou nonces de sécurité,Remplacer java.util.Random par java.security.SecureRandom,MASVS-CRYPTO-6,Confirmé
FIND-007,Yaazhini,Signature APK faible SHA1withRSA,yaazhini_report.html Findings 9 — certificat de signature,Moyenne,Medium,Vulnérabilité théorique à des attaques de collision sur la signature,Signer avec SHA256withRSA — utiliser Android v2 signature scheme minimum,MASVS-CODE-1,Confirmé
FIND-008,BeVigil,Trackers tiers dans l'application,bevigil_export_summary.txt — 3 trackers Google AdMob + Analytics + Tag Manager,Forte,Medium,Collecte de données comportementales utilisateurs par des tiers sans consentement explicite,Documenter et afficher le consentement RGPD — évaluer la nécessité de chaque tracker,MASVS-PLATFORM-1,Confirmé
FIND-009,BeVigil,Adresses email exposées dans le code,bevigil_export_summary.txt — 6 emails détectés dans le code source,Moyenne,Low,Exposition des emails de développeurs — risque de phishing ou social engineering ciblé,Supprimer les emails du code source — utiliser des variables d'environnement ou des fichiers de config,MASVS-CODE-4,Confirmé
FIND-010,Yaazhini,Receivers exportés sans protection,yaazhini_report.html Findings 6 — AndroidManifest.xml receivers exported,Forte,Medium,Applications tierces peuvent envoyer des intents aux receivers et déclencher des actions non autorisées,Ajouter android:exported=false ou des permissions explicites sur les receivers,MASVS-PLATFORM-2,Confirmé
FIND-011,BeVigil,Score sécurité global faible,bevigil_export_summary.txt — Score 7.4/10 AVERAGE,Forte,Info,Niveau de sécurité insuffisant pour une application bancaire — nombreuses lacunes identifiées,Traiter en priorité les findings High avant toute mise en production,MASVS-CODE-1,Confirmé
FIND-012,Yaazhini,JavaScript activé dans WebView,yaazhini_report.html Findings 10 — WebView settings,Moyenne,Medium,Risque XSS si du contenu non fiable est chargé dans la WebView,Désactiver JavaScript si non nécessaire — valider strictement tout contenu chargé dans la WebView,MASVS-PLATFORM-5,À confirmer
